January,February,March,April,May,June,July,August,September,October,November,December,year,state
57.8,61.1,66.0,68.9,76.2,86.6,92.1,92.6,87.1,77.8,57.8,52.0,2022,California
35.3,45.3,46.3,58.7,67.5,80.9,82.5,79.0,74.7,63.6,48.0,41.9,1977,Colorado
37.2,39.1,48.2,56.0,63.7,72.5,81.6,80.0,69.5,57.5,44.2,38.2,1982,Colorado
37.4,42.0,45.2,60.5,65.5,78.0,82.6,77.7,72.0,63.6,46.7,35.3,1987,Colorado
37.7,44.2,50.8,62.9,68.2,73.5,78.3,77.4,74.0,64.1,39.3,33.5,1992,Colorado
36.6,39.5,54.0,51.3,66.6,76.5,82.3,78.1,73.0,60.1,43.9,35.3,1997,Colorado
38.4,41.9,46.9,62.6,69.2,83.7,87.1,82.3,72.0,56.3,46.2,39.8,2002,Colorado
31.9,39.1,54.2,56.6,67.4,78.5,84.8,83.2,74.4,63.4,53.1,33.6,2007,Colorado
43.0,39.3,57.2,62.8,71.0,84.8,85.6,83.2,74.8,61.0,54.3,38.4,2012,Colorado
36.2,47.9,57.1,57.7,65.2,80.7,84.1,78.8,73.1,61.5,54.9,43.9,2017,Colorado
40.4,39.1,49.0,58.9,68.0,79.2,84.6,82.0,78.0,62.1,44.7,38.2,2022,Colorado
26.8,35.3,50.4,60.4,72.2,74.4,82.7,80.0,70.9,60.3,50.6,35.9,1977,Connecticut
27.9,36.7,45.3,56.1,71.1,72.4,83.1,77.4,72.2,62.0,53.7,44.2,1982,Connecticut
34.3,36.8,49.0,58.2,70.1,78.3,82.9,78.6,70.7,60.1,51.3,40.6,1987,Connecticut
37.4,39.0,43.2,54.7,69.3,75.8,78.8,77.2,71.2,59.0,47.1,38.5,1992,Connecticut
35.7,42.9,45.0,56.2,65.0,78.5,82.5,78.8,72.3,61.6,46.7,40.2,1997,Connecticut
41.9,44.9,48.9,61.4,66.6,77.1,84.2,83.1,75.5,59.0,48.3,37.8,2002,Connecticut
39.6,31.7,46.3,55.0,72.8,78.0,81.5,81.3,76.8,68.0,49.2,37.6,2007,Connecticut
40.6,44.5,56.3,61.5,71.3,76.9,84.9,82.5,73.4,63.5,48.0,43.3,2012,Connecticut
40.1,44.4,42.8,62.4,66.4,77.9,81.6,79.6,76.2,69.6,51.0,36.1,2017,Connecticut
34.0,41.6,49.1,58.3,71.3,77.4,85.4,85.3,73.6,62.9,55.3,42.5,2022,Connecticut
30.7,45.2,58.7,68.1,76.5,79.4,87.9,86.4,79.6,64.5,55.8,44.5,1977,Delaware
35.2,43.6,52.2,61.9,75.1,78.0,85.9,82.2,76.9,66.9,59.1,51.5,1982,Delaware
39.3,40.4,55.3,60.8,74.5,84.4,89.3,85.3,78.6,64.7,59.0,48.4,1987,Delaware
45.3,47.0,50.2,62.4,69.5,78.5,85.1,81.0,76.3,64.7,55.3,46.3,1992,Delaware
42.8,50.0,55.7,61.7,71.0,80.2,86.9,84.5,77.5,68.1,52.8,47.6,1997,Delaware
48.7,52.3,56.9,68.4,74.3,83.9,89.4,88.8,80.6,66.3,54.7,44.7,2002,Delaware
49.1,37.7,56.9,61.2,76.5,83.2,86.7,86.7,81.3,74.4,56.0,47.1,2007,Delaware
49.4,51.0,63.1,66.8,77.9,84.2,91.1,85.9,79.1,68.8,53.0,52.5,2012,Delaware
46.2,55.0,53.9,70.0,72.0,84.0,87.5,83.1,78.9,72.5,57.7,44.8,2017,Delaware
40.8,50.1,57.8,63.6,74.0,83.2,88.3,88.0,79.5,65.4,60.4,47.4,2022,Delaware
60.8,68.2,78.7,82.5,86.8,92.6,92.0,89.8,89.5,81.0,76.3,68.6,1977,Florida
69.9,75.8,78.1,81.1,85.7,90.0,90.6,90.5,87.6,82.0,77.7,73.7,1982,Florida
67.4,70.3,74.0,78.2,86.2,90.7,92.4,92.7,89.3,80.0,76.2,72.4,1987,Florida
67.5,72.1,75.4,79.2,85.1,89.2,92.6,89.7,88.3,80.8,76.0,71.3,1992,Florida
70.8,75.2,81.5,79.6,85.5,88.1,91.7,91.1,89.7,82.8,74.2,68.6,1997,Florida
70.4,71.3,79.1,84.7,88.3,88.7,90.7,90.4,89.4,85.6,74.5,68.7,2002,Florida
71.3,70.0,78.7,80.9,86.8,90.2,91.9,93.3,89.6,84.6,76.6,75.2,2007,Florida
72.1,74.4,81.8,83.4,88.6,88.3,91.8,90.1,88.5,82.8,73.7,73.4,2012,Florida
74.2,77.8,78.3,84.3,88.8,88.2,91.6,91.3,89.2,83.9,78.0,72.3,2017,Florida
68.6,74.7,80.2,83.0,88.4,92.0,92.1,91.9,88.9,83.1,78.6,71.7,2022,Florida
45.2,60.0,70.1,79.3,85.0,92.5,93.5,89.5,86.0,73.4,67.4,57.0,1977,Georgia
54.9,62.6,70.3,72.5,84.7,88.5,89.2,88.3,83.4,76.3,68.2,63.1,1982,Georgia
54.5,57.4,66.2,74.0,84.2,88.4,92.4,92.7,85.1,73.6,69.7,62.2,1987,Georgia
56.7,63.6,68.0,74.4,80.5,85.3,90.5,86.3,83.3,73.7,65.0,56.6,1992,Georgia
58.5,62.7,75.2,73.2,79.4,82.9,91.0,88.4,86.7,75.2,62.3,57.3,1997,Georgia
60.0,61.6,70.7,79.8,83.0,88.4,91.7,90.8,85.8,76.7,63.9,56.7,2002,Georgia
59.5,59.5,74.0,74.9,84.6,89.6,89.3,94.7,86.6,78.7,67.9,64.4,2007,Georgia
62.6,64.2,76.8,78.6,85.3,86.9,93.2,87.6,85.0,76.0,65.8,62.8,2012,Georgia
64.1,69.8,70.9,80.5,83.5,86.0,90.5,88.7,85.0,78.5,68.9,59.0,2017,Georgia
57.3,65.6,72.3,76.9,85.2,92.1,91.1,89.0,85.1,76.3,68.8,59.4,2022,Georgia
28.2,41.3,41.0,59.9,56.0,76.1,78.8,78.6,66.8,57.6,39.3,34.1,1977,Idaho
28.9,32.0,42.2,47.8,60.0,70.2,76.4,80.6,66.3,51.8,36.2,30.4,1982,Idaho
30.1,39.2,45.2,62.4,65.9,74.5,76.7,77.8,75.2,63.6,42.3,32.1,1987,Idaho
34.7,43.9,53.4,58.3,70.2,74.4,77.0,81.2,69.0,59.8,35.4,27.8,1992,Idaho
31.8,36.2,45.4,49.5,66.2,69.8,77.5,80.5,71.0,54.2,43.1,31.7,1997,Idaho
30.4,34.9,40.2,53.3,61.8,73.0,85.2,77.7,70.6,54.2,42.5,35.8,2002,Idaho
30.8,39.6,50.7,55.3,66.3,74.7,88.7,81.7,69.4,54.0,43.8,30.4,2007,Idaho
36.0,37.4,46.5,57.2,62.2,71.6,84.5,84.2,74.9,56.1,44.4,32.6,2012,Idaho
27.3,37.2,47.8,50.9,64.1,73.2,86.4,82.9,69.0,53.9,43.1,33.5,2017,Idaho
32.6,35.0,47.0,48.6,57.7,70.7,85.9,85.3,76.4,61.5,35.7,30.2,2022,Idaho
19.4,38.2,55.5,69.8,81.3,82.2,88.9,81.8,77.7,62.7,49.5,34.0,1977,Illinois
26.2,33.3,48.7,58.1,78.8,77.8,85.4,81.7,75.5,67.2,50.6,45.2,1982,Illinois
33.8,44.9,55.1,65.9,80.8,86.3,88.0,85.3,79.1,60.9,54.8,40.2,1987,Illinois
38.2,45.2,52.6,61.9,73.4,80.8,82.6,79.6,75.5,65.8,46.5,38.1,1992,Illinois
30.5,40.4,53.4,59.1,69.0,80.6,86.2,81.2,78.0,66.4,45.8,37.8,1997,Illinois
42.6,43.7,47.7,64.3,69.9,84.7,89.1,85.5,82.1,62.0,48.4,40.8,2002,Illinois
37.9,29.9,58.5,61.6,79.4,83.9,84.4,89.4,83.1,71.3,52.3,37.4,2007,Illinois
41.0,44.4,66.8,66.7,80.5,85.4,94.4,86.9,76.9,63.0,51.6,44.6,2012,Illinois
39.4,52.0,52.9,67.4,72.5,84.5,86.8,81.6,81.7,68.2,51.8,38.8,2017,Illinois
31.9,37.8,53.6,59.9,75.5,85.2,85.7,83.9,78.2,66.4,53.3,38.0,2022,Illinois
19.4,36.7,55.7,68.4,81.0,80.6,88.1,81.6,78.0,62.0,50.7,34.8,1977,Indiana
28.5,33.9,49.3,57.5,79.1,77.1,85.0,80.9,74.8,66.8,51.8,47.2,1982,Indiana
33.7,42.7,54.5,63.3,79.7,84.2,85.5,84.3,79.1,59.6,55.9,41.4,1987,Indiana
37.5,45.4,51.0,60.6,71.3,78.2,81.8,78.5,74.8,64.3,48.4,38.9,1992,Indiana
31.6,42.5,52.4,59.1,67.3,78.4,84.9,80.0,76.9,65.4,46.1,39.0,1997,Indiana
42.8,44.7,48.0,64.3,69.4,84.0,88.3,85.6,82.1,62.1,48.0,39.1,2002,Indiana
39.2,28.7,57.8,60.5,79.2,84.0,83.5,88.6,82.2,71.3,51.6,39.4,2007,Indiana
41.1,43.9,66.7,65.3,80.4,85.0,92.8,84.8,75.5,62.3,50.8,45.3,2012,Indiana
41.2,51.7,52.0,68.4,71.6,82.8,84.5,81.1,79.2,67.6,51.9,38.0,2017,Indiana
33.7,39.4,54.6,60.1,75.9,84.8,85.5,83.5,77.5,66.0,53.4,38.9,2022,Indiana
17.0,38.5,51.7,67.5,79.0,83.5,88.7,79.2,74.2,60.1,44.1,27.5,1977,Iowa
17.5,29.4,42.0,55.9,72.1,75.7,84.8,80.1,71.9,63.3,43.8,36.7,1982,Iowa
33.1,44.9,50.6,66.5,78.0,85.0,87.2,80.0,74.4,58.8,49.6,34.6,1987,Iowa
35.4,39.4,49.1,56.4,73.0,79.8,77.6,76.6,72.1,62.6,38.5,31.5,1992,Iowa
23.9,32.5,47.9,55.5,66.2,82.2,83.7,79.8,75.8,63.8,40.2,33.3,1997,Iowa
38.8,39.7,41.6,60.3,69.1,83.3,87.4,81.6,77.8,56.0,44.6,39.1,2002,Iowa
30.3,23.3,51.3,57.9,76.2,81.6,85.1,83.9,77.4,66.1,47.7,27.6,2007,Iowa
36.3,38.3,62.9,64.5,77.6,83.1,92.0,84.3,76.9,60.5,50.1,36.6,2012,Iowa
30.5,45.0,46.8,61.3,69.8,83.6,85.8,78.8,79.1,63.4,46.4,33.7,2017,Iowa
26.3,33.2,47.5,54.9,72.0,83.2,84.9,83.2,77.3,64.6,47.7,29.4,2022,Iowa
32.6,53.7,60.3,69.2,78.8,88.8,93.8,86.8,82.3,70.7,54.3,45.2,1977,Kansas
37.2,40.8,56.2,64.9,75.0,79.4,91.3,90.0,81.1,70.3,53.2,45.6,1982,Kansas
41.6,50.9,55.6,69.3,78.5,87.4,90.3,88.1,81.0,68.0,55.9,43.3,1987,Kansas
47.4,53.7,60.6,67.9,75.2,79.4,87.4,82.1,81.3,70.3,45.8,38.9,1992,Kansas
41.1,44.7,61.9,60.7,74.4,84.4,90.7,86.4,82.2,69.1,51.1,39.9,1997,Kansas
47.3,48.8,54.1,69.9,75.2,89.7,93.8,90.7,84.0,60.6,54.7,47.6,2002,Kansas
36.6,40.4,64.5,62.5,77.1,83.6,89.7,93.4,83.7,72.8,59.1,39.0,2007,Kansas
49.7,48.6,69.2,71.8,83.4,92.0,99.1,91.3,82.8,67.6,62.2,46.9,2012,Kansas
43.6,57.9,62.5,67.3,75.0,88.2,92.7,85.0,83.8,71.1,57.7,46.3,2017,Kansas
43.5,46.6,58.5,69.0,76.8,88.1,94.1,93.2,87.1,73.4,54.2,42.7,2022,Kansas
27.2,45.9,62.5,72.1,80.7,82.9,88.8,85.1,80.9,64.4,56.9,43.4,1977,Kentucky
39.1,45.3,59.4,63.3,81.6,80.3,86.9,83.1,76.2,69.6,58.3,52.8,1982,Kentucky
40.5,47.9,60.3,65.6,82.3,86.0,88.1,88.9,81.4,65.2,61.5,48.3,1987,Kentucky
44.9,52.8,56.8,67.3,73.1,79.4,85.7,80.9,78.0,67.9,55.2,44.4,1992,Kentucky
42.4,51.0,60.1,63.2,71.3,79.0,87.9,83.9,79.4,68.9,50.8,44.5,1997,Kentucky
48.2,50.2,57.1,70.9,74.2,85.7,88.8,88.7,84.0,66.0,52.8,44.3,2002,Kentucky
46.6,39.6,65.8,65.5,81.4,86.5,86.0,93.9,85.3,74.5,57.7,49.7,2007,Kentucky
49.1,51.4,70.5,70.2,81.3,86.2,92.1,86.6,78.4,66.2,56.2,51.7,2012,Kentucky
48.7,57.6,59.4,73.1,76.2,83.3,87.3,83.7,79.7,71.4,58.2,45.4,2017,Kentucky
41.2,49.8,61.6,66.0,78.8,86.6,88.3,85.4,79.7,69.0,58.5,47.1,2022,Kentucky
49.3,63.5,71.9,78.2,86.0,92.8,93.4,90.1,88.8,78.6,69.5,60.8,1977,Louisiana
61.0,59.4,71.5,75.2,85.0,90.7,92.6,92.1,87.0,78.2,69.4,65.0,1982,Louisiana
56.8,62.3,69.4,78.5,85.6,88.5,91.4,92.9,87.8,77.8,70.2,64.1,1987,Louisiana
57.6,66.3,71.1,76.1,82.4,88.1,91.2,88.1,85.9,79.6,64.4,61.4,1992,Louisiana
58.2,62.3,73.9,72.3,82.4,87.8,92.9,91.2,89.9,78.7,64.7,59.3,1997,Louisiana
62.2,60.9,69.4,79.4,84.5,88.8,92.0,91.2,87.5,77.1,66.4,61.2,2002,Louisiana
58.2,61.6,75.3,74.9,84.1,89.9,88.5,94.4,88.3,80.8,70.6,66.3,2007,Louisiana
66.5,64.6,77.6,80.2,87.0,91.3,91.4,91.1,87.6,77.8,70.2,65.6,2012,Louisiana
66.2,72.1,74.8,80.4,81.8,86.4,91.4,88.6,87.6,81.0,72.8,60.4,2017,Louisiana
60.7,63.3,71.6,78.6,87.2,92.9,93.3,90.0,88.5,80.0,68.5,63.3,2022,Louisiana
19.2,26.2,42.1,49.0,66.1,66.5,76.7,73.7,62.4,53.3,43.5,26.7,1977,Maine
16.6,25.1,36.1,46.4,64.8,68.4,77.7,71.1,65.9,56.1,43.7,34.2,1982,Maine
23.6,25.0,39.5,54.3,64.1,71.5,76.0,74.1,65.0,54.7,39.9,29.7,1987,Maine
24.0,26.7,33.2,46.7,65.6,71.8,72.1,73.0,67.0,50.6,39.0,30.1,1992,Maine
23.5,29.2,33.1,47.0,57.0,73.7,77.5,73.8,64.6,52.7,38.6,29.9,1997,Maine
29.2,30.6,36.5,49.0,60.6,69.6,76.6,79.3,71.3,50.9,37.8,29.7,2002,Maine
26.7,22.3,36.5,46.4,63.6,72.9,75.4,75.4,69.1,59.3,39.2,26.4,2007,Maine
27.4,31.6,45.1,53.4,64.2,70.7,79.2,78.2,67.3,57.0,41.0,32.2,2012,Maine
29.9,30.7,31.9,51.4,60.7,72.0,76.4,74.9,72.3,62.8,41.5,24.6,2017,Maine
21.9,30.5,38.2,50.2,67.7,71.5,80.0,77.4,67.1,60.7,46.4,34.5,2022,Maine
29.8,45.0,58.9,67.9,76.9,79.4,87.8,85.5,79.2,63.8,54.2,42.5,1977,Maryland
34.4,43.2,52.1,62.1,76.4,78.0,85.5,81.5,76.5,66.7,58.2,50.6,1982,Maryland
38.9,42.1,56.1,61.5,75.8,84.4,89.3,85.8,78.0,63.6,58.5,46.8,1987,Maryland
44.4,47.0,50.8,63.1,70.2,78.5,84.8,80.6,75.8,64.2,54.0,44.2,1992,Maryland
42.3,49.4,55.3,61.6,71.4,80.4,86.9,83.7,77.1,67.2,51.2,46.2,1997,Maryland
48.4,51.5,56.2,68.3,74.0,84.3,88.6,88.3,80.3,64.6,53.5,42.9,2002,Maryland
47.2,36.8,56.6,61.4,77.0,83.5,86.5,86.7,81.5,74.4,55.0,45.8,2007,Maryland
47.1,50.2,64.0,66.0,78.0,83.1,90.1,85.5,78.5,67.2,51.8,50.5,2012,Maryland
45.2,54.8,53.3,70.2,71.7,83.4,87.0,82.3,78.1,71.8,55.8,43.9,2017,Maryland
39.7,49.7,57.8,64.1,74.5,82.9,87.4,86.8,78.8,65.0,59.1,46.3,2022,Maryland
26.3,34.1,49.1,58.9,71.5,73.4,81.3,79.3,69.3,59.4,49.8,34.6,1977,Massachusetts
26.7,35.1,43.9,54.6,69.4,70.7,81.9,76.2,71.0,61.1,52.9,43.8,1982,Massachusetts
33.4,35.3,46.2,55.8,68.5,76.5,81.4,77.9,69.8,59.8,49.6,39.4,1987,Massachusetts
35.6,37.1,41.4,53.2,67.8,75.4,77.4,76.5,70.9,57.4,46.0,37.7,1992,Massachusetts
34.0,41.2,42.6,54.1,63.5,77.4,81.4,78.2,71.2,60.0,45.7,39.4,1997,Massachusetts
40.6,42.9,46.9,59.7,65.8,75.2,82.6,83.0,75.4,58.1,46.8,37.1,2002,Massachusetts
38.0,31.1,44.8,52.7,71.3,76.5,80.6,80.8,75.4,66.2,48.0,36.1,2007,Massachusetts
39.1,43.1,54.5,60.7,70.2,75.3,84.2,82.4,72.4,62.4,47.7,42.1,2012,Massachusetts
39.0,42.7,40.8,60.7,64.5,77.1,80.0,79.1,75.2,68.2,50.1,34.1,2017,Massachusetts
33.5,40.8,48.3,57.9,70.7,76.7,84.9,84.8,72.4,62.9,54.9,42.1,2022,Massachusetts
16.7,28.0,45.4,59.0,75.6,73.7,82.1,74.5,67.2,56.4,42.8,28.4,1977,Michigan
20.7,26.6,36.4,49.5,71.6,70.4,80.2,74.8,67.3,59.8,43.0,37.8,1982,Michigan
29.7,35.7,45.4,58.6,70.9,79.7,83.1,77.1,70.6,52.4,45.8,34.3,1987,Michigan
29.2,32.7,38.6,49.2,68.2,72.8,73.4,73.7,67.6,55.3,39.4,32.7,1992,Michigan
25.4,32.0,38.8,52.1,58.3,78.2,79.2,73.6,68.8,57.7,39.7,34.5,1997,Michigan
34.4,36.2,37.0,53.5,60.9,76.7,84.5,79.2,75.4,53.4,41.0,33.0,2002,Michigan
31.0,23.3,45.0,52.4,71.1,80.1,80.3,80.2,73.7,64.0,42.8,30.6,2007,Michigan
32.8,36.0,55.4,55.8,71.9,79.0,86.0,79.2,70.5,56.8,44.0,36.6,2012,Michigan
31.4,38.5,39.1,58.0,64.0,76.6,79.7,75.7,74.7,62.3,41.7,28.0,2017,Michigan
24.0,28.5,40.2,49.4,69.0,77.5,80.7,79.0,71.4,59.2,47.1,32.4,2022,Michigan
6.6,27.8,42.2,61.3,76.9,76.8,82.2,73.0,66.1,56.0,35.2,16.6,1977,Minnesota
6.6,21.0,32.6,50.4,68.4,70.9,81.0,77.3,66.8,55.0,33.5,27.8,1982,Minnesota
25.4,36.7,42.4,65.0,71.9,81.2,82.6,76.7,70.2,51.6,42.3,27.0,1987,Minnesota
25.8,30.1,38.9,48.4,70.6,73.0,72.0,73.5,67.3,55.3,31.8,21.7,1992,Minnesota
13.8,25.6,34.1,50.2,61.5,79.4,78.2,75.7,71.5,57.0,31.7,30.2,1997,Minnesota
27.0,34.3,29.3,50.9,62.4,78.2,83.3,76.9,71.6,45.6,36.3,29.7,2002,Minnesota
23.1,17.0,41.4,53.0,71.1,78.8,82.6,77.7,71.1,58.7,38.5,20.0,2007,Minnesota
27.4,31.9,52.7,57.2,70.2,78.8,86.0,79.5,71.8,52.8,39.5,25.0,2012,Minnesota
22.3,33.6,38.1,55.2,64.9,77.0,80.9,74.9,71.6,57.2,35.8,21.6,2017,Minnesota
15.4,18.8,35.6,43.9,66.0,78.0,80.6,77.9,71.9,58.1,38.0,19.7,2022,Minnesota
43.3,60.2,70.1,77.8,86.1,93.3,92.8,90.9,87.2,74.4,66.2,56.4,1977,Mississippi
55.2,56.6,69.7,72.7,85.0,88.6,91.5,89.8,84.5,76.2,66.4,61.8,1982,Mississippi
53.3,58.7,68.4,75.5,85.2,88.3,91.5,92.4,86.8,75.0,68.8,61.1,1987,Mississippi
54.3,63.8,67.7,74.9,81.9,86.6,90.4,86.5,83.5,76.8,62.3,56.4,1992,Mississippi
54.8,60.3,72.5,70.9,80.4,85.1,91.5,89.2,87.9,76.6,60.5,54.6,1997,Mississippi
58.5,58.2,67.0,77.7,82.6,88.8,91.4,90.5,87.7,75.2,62.8,57.4,2002,Mississippi
55.6,57.8,75.4,73.5,84.8,91.3,88.7,96.4,87.5,78.5,67.5,63.0,2007,Mississippi
62.8,61.7,76.8,78.1,86.3,90.0,92.0,89.6,85.6,74.4,65.8,62.2,2012,Mississippi
62.5,69.1,71.6,79.6,81.3,85.7,90.8,88.1,85.6,78.7,68.9,57.2,2017,Mississippi
56.7,61.3,70.8,76.6,86.3,92.6,93.1,89.3,87.3,77.6,66.4,59.5,2022,Mississippi
25.7,46.1,60.2,71.6,80.3,85.6,90.4,86.5,80.0,67.4,53.2,40.4,1977,Missouri
33.1,40.7,57.1,62.8,78.2,78.8,88.7,84.5,77.3,69.4,54.1,47.4,1982,Missouri
38.9,49.6,59.0,69.3,81.7,87.0,89.2,88.7,80.0,65.0,56.5,44.0,1987,Missouri
44.7,51.2,58.6,66.7,74.2,80.8,85.8,81.0,77.5,69.2,48.8,42.9,1992,Missouri
36.8,45.2,59.6,61.4,72.2,81.5,89.1,84.5,79.9,68.3,49.4,40.8,1997,Missouri
45.9,48.1,52.2,69.1,72.7,85.4,90.0,87.8,83.5,63.3,52.5,45.9,2002,Missouri
40.7,38.9,64.4,64.0,79.1,83.8,86.6,93.3,82.4,71.5,56.9,41.8,2007,Missouri
47.6,49.6,69.9,71.0,81.8,87.8,97.0,90.0,78.6,65.7,57.3,48.4,2012,Missouri
44.1,57.2,59.2,69.4,75.6,85.0,89.6,82.8,82.9,70.9,57.2,44.3,2017,Missouri
39.4,44.8,58.2,64.4,76.2,86.6,91.1,87.4,82.0,70.2,55.6,41.9,2022,Missouri
22.8,41.2,42.4,60.5,64.2,76.0,79.7,74.1,65.5,56.3,36.4,24.7,1977,Montana
19.0,29.2,38.1,48.5,58.9,69.8,77.6,80.6,65.9,53.6,35.6,30.6,1982,Montana
34.1,40.4,42.8,63.0,67.7,76.5,77.7,73.9,72.6,59.4,45.9,33.9,1987,Montana
38.6,44.6,52.1,56.6,68.2,74.3,72.2,76.8,67.9,57.3,37.5,25.3,1992,Montana
24.3,35.1,43.1,47.4,64.5,73.0,77.9,79.6,73.1,54.9,40.7,35.2,1997,Montana
31.9,37.9,30.5,50.1,60.4,72.6,85.0,75.5,69.5,48.6,44.4,36.5,2002,Montana
32.3,31.0,51.2,52.6,65.0,74.3,89.3,81.5,69.6,56.5,42.3,31.3,2007,Montana
35.3,35.4,52.0,57.8,62.5,74.0,86.5,83.6,74.8,51.9,42.0,30.3,2012,Montana
24.6,34.9,46.4,53.6,66.4,74.8,88.4,81.5,68.5,55.1,40.2,30.0,2017,Montana
33.4,33.7,45.5,46.6,60.3,71.3,84.8,85.7,76.0,59.3,32.3,23.6,2022,Montana
28.2,47.2,50.0,65.4,75.8,84.6,89.3,81.5,78.0,64.9,47.2,36.0,1977,Nebraska
26.7,38.1,47.4,59.2,69.9,75.2,88.1,84.2,74.5,63.0,44.6,39.7,1982,Nebraska
41.0,46.7,47.4,67.0,75.4,84.9,89.4,82.1,76.6,63.0,50.2,38.5,1987,Nebraska
42.6,48.2,54.3,62.4,74.5,76.8,79.7,78.8,77.0,65.1,40.2,32.8,1992,Nebraska
32.8,39.3,55.1,54.4,68.8,82.3,87.1,82.9,77.9,64.7,46.1,38.3,1997,Nebraska
42.2,45.8,42.3,64.3,69.8,87.9,92.6,86.2,77.6,55.3,49.1,44.5,2002,Nebraska
31.8,32.9,58.4,58.4,74.8,81.7,88.8,87.5,78.7,67.0,54.2,31.9,2007,Nebraska
44.2,40.7,66.3,66.9,77.0,87.8,95.2,88.5,81.5,62.2,54.6,39.7,2012,Nebraska
